dropout,batch_size,learning_rate,best_val_loss,best_val_acc_percent,status,log_file
0.3,32,3e-6,0.266400,89.660000,ok,language/grid_results_drop_03/logs/run_1_dropout_0p3_bs_32_lr_3em6.log
0.3,32,1e-5,0.266600,89.560000,ok,language/grid_results_drop_03/logs/run_2_dropout_0p3_bs_32_lr_1em5.log
0.3,32,3e-5,0.268300,89.400000,ok,language/grid_results_drop_03/logs/run_3_dropout_0p3_bs_32_lr_3em5.log
0.3,64,3e-6,0.267000,89.660000,ok,language/grid_results_drop_03/logs/run_4_dropout_0p3_bs_64_lr_3em6.log
0.3,64,1e-5,,,failed,language/grid_results_drop_03/logs/run_5_dropout_0p3_bs_64_lr_1em5.log
0.3,64,3e-5,0.267000,89.540000,ok,language/grid_results_drop_03/logs/run_6_dropout_0p3_bs_64_lr_3em5.log
0.3,128,3e-6,0.267000,89.640000,ok,language/grid_results_drop_03/logs/run_7_dropout_0p3_bs_128_lr_3em6.log
0.3,128,1e-5,0.267500,89.620000,ok,language/grid_results_drop_03/logs/run_8_dropout_0p3_bs_128_lr_1em5.log
0.3,128,3e-5,0.268900,89.460000,ok,language/grid_results_drop_03/logs/run_9_dropout_0p3_bs_128_lr_3em5.log
