dropout,batch_size,learning_rate,best_val_loss,best_val_acc_percent,status,log_file
0.1,32,3e-6,0.266100,89.680000,ok,language/grid_results_drop_01/logs/run_1_dropout_0p1_bs_32_lr_3em6.log
0.1,32,1e-5,0.267100,89.600000,ok,language/grid_results_drop_01/logs/run_2_dropout_0p1_bs_32_lr_1em5.log
0.1,32,3e-5,0.267100,89.500000,ok,language/grid_results_drop_01/logs/run_3_dropout_0p1_bs_32_lr_3em5.log
0.1,64,3e-6,0.266800,89.640000,ok,language/grid_results_drop_01/logs/run_4_dropout_0p1_bs_64_lr_3em6.log
0.1,64,1e-5,0.267900,89.540000,ok,language/grid_results_drop_01/logs/run_5_dropout_0p1_bs_64_lr_1em5.log
0.1,64,3e-5,0.269800,89.660000,ok,language/grid_results_drop_01/logs/run_6_dropout_0p1_bs_64_lr_3em5.log
0.1,128,3e-6,0.267500,89.540000,ok,language/grid_results_drop_01/logs/run_7_dropout_0p1_bs_128_lr_3em6.log
0.1,128,1e-5,0.267600,89.480000,ok,language/grid_results_drop_01/logs/run_8_dropout_0p1_bs_128_lr_1em5.log
0.1,128,3e-5,0.268000,89.460000,ok,language/grid_results_drop_01/logs/run_9_dropout_0p1_bs_128_lr_3em5.log
