8,,,,
Vanilla,,,,
,batch size,learning rate,accuracy,val loss
,32,1.00E-03,0.985044,0.075600
,32,3.00E-03,0.983005,0.185856
,32,1.00E-02,0.983005,5.324580
,64,1.00E-03,0.984364,0.061384
,64,3.00E-03,0.986404,0.127448
,64,1.00E-02,0.983685,2.736287
,128,1.00E-03,0.984364,0.058265
,128,3.00E-03,0.984364,0.071330
,128,1.00E-02,0.981645,0.452387
,,,,
Layer norm,,,,
,batch size,learning rate,accuracy,val loss
,32,1.00E-03,0.986404,0.085517
,32,3.00E-03,0.984364,0.072101
,32,1.00E-02,0.986404,0.068990
,64,1.00E-03,0.988443,0.067739
,64,3.00E-03,0.983005,0.062620
,64,1.00E-02,0.987763,0.092050
,128,1.00E-03,0.987084,0.053233
,128,3.00E-03,0.985044,0.069269
,128,1.00E-02,0.985724,0.085978
,,,,
Batch norm,,,,
,batch size,learning rate,accuracy,val loss
,32,1.00E-03,0.989803,0.042761
,32,3.00E-03,0.987763,0.059264
,32,1.00E-02,0.987763,0.069976
,64,1.00E-03,0.990483,0.035438
,64,3.00E-03,0.987084,0.064778
,64,1.00E-02,0.987084,0.066283
,128,1.00E-03,0.987763,0.046654
,128,3.00E-03,0.986404,0.054457
,128,1.00E-02,0.989123,0.060171
,,,,
NP-reg,,,,
lambda,batch_size,learning_rate,accuracy,val loss
0.01,32,1.00E-03,0.993202,0.023021
0.01,32,3.00E-03,0.990483,0.043174
0.01,32,1.00E-02,0.987763,0.096048
0.01,64,1.00E-03,0.991842,0.024364
0.01,64,3.00E-03,0.991162,0.026436
0.01,64,1.00E-02,0.986404,0.144450
0.01,128,1.00E-03,0.990483,0.028422
0.01,128,3.00E-03,0.992522,0.023076
0.01,128,1.00E-02,0.989123,0.030571
0.1,32,1.00E-03,0.990483,0.035709
0.1,32,3.00E-03,0.989803,0.062053
0.1,32,1.00E-02,0.984364,0.137397
0.1,64,1.00E-03,0.991842,0.028790
0.1,64,3.00E-03,0.991842,0.032916
0.1,64,1.00E-02,0.984364,0.185250
0.1,128,1.00E-03,0.991162,0.030457
0.1,128,3.00E-03,0.990483,0.031676
0.1,128,1.00E-02,0.987763,0.039137
1,32,1.00E-03,0.988443,0.036558
1,32,3.00E-03,0.983005,0.073030
1,32,1.00E-02,0.951734,0.129557
1,64,1.00E-03,0.987763,0.032557
1,64,3.00E-03,0.988443,0.041632
1,64,1.00E-02,0.971448,0.148983
1,128,1.00E-03,0.988443,0.045117
1,128,3.00E-03,0.987763,0.038280
1,128,1.00E-02,0.985044,0.051118
,,,,
Weight decay,,,,
lambda,batch_size,learning_rate,accuracy,val loss
1.00E-05,32,1.00E-03,0.985044,0.075600
1.00E-05,32,3.00E-03,0.983005,0.258227
1.00E-05,32,1.00E-02,0.983685,6.745183
1.00E-05,64,1.00E-03,0.984364,0.061384
1.00E-05,64,3.00E-03,0.984364,0.112664
1.00E-05,64,1.00E-02,0.985044,2.637500
1.00E-05,128,1.00E-03,0.984364,0.058265
1.00E-05,128,3.00E-03,0.983005,0.061428
1.00E-05,128,1.00E-02,0.982325,2.142611
1.00E-04,32,1.00E-03,0.985044,0.108431
1.00E-04,32,3.00E-03,0.984364,0.705697
1.00E-04,32,1.00E-02,0.985044,2.152362
1.00E-04,64,1.00E-03,0.985044,0.088663
1.00E-04,64,3.00E-03,0.985044,0.204847
1.00E-04,64,1.00E-02,0.985044,1.182584
1.00E-04,128,1.00E-03,0.984364,0.057325
1.00E-04,128,3.00E-03,0.983685,0.121315
1.00E-04,128,1.00E-02,0.981645,1.106698
1.00E-03,32,1.00E-03,0.984364,0.085696
1.00E-03,32,3.00E-03,0.987084,0.246698
1.00E-03,32,1.00E-02,0.985724,6.132662
1.00E-03,64,1.00E-03,0.986404,0.081082
1.00E-03,64,3.00E-03,0.985044,0.100974
1.00E-03,64,1.00E-02,0.985044,2.808413
1.00E-03,128,1.00E-03,0.985044,0.065217
1.00E-03,128,3.00E-03,0.985724,0.081355
1.00E-03,128,1.00E-02,0.980965,1.458706
,,,,
Dropout,,,,
p,batch size,learning rate,accuracy,val loss
0.1,32,1.00E-03,0.985724,0.135169
0.1,32,3.00E-03,0.987084,0.907535
0.1,32,1.00E-02,0.987084,6.486023
0.1,64,1.00E-03,0.983005,0.084049
0.1,64,3.00E-03,0.985724,0.443732
0.1,64,1.00E-02,0.987763,6.088984
0.1,128,1.00E-03,0.984364,0.055277
0.1,128,3.00E-03,0.985044,0.165793
0.1,128,1.00E-02,0.984364,1.363562
0.3,32,1.00E-03,0.984364,0.200058
0.3,32,3.00E-03,0.986404,1.356766
0.3,32,1.00E-02,0.984364,15.450546
0.3,64,1.00E-03,0.987763,0.094551
0.3,64,3.00E-03,0.985044,1.090536
0.3,64,1.00E-02,0.985044,10.422829
0.3,128,1.00E-03,0.985724,0.061271
0.3,128,3.00E-03,0.987763,0.373675
0.3,128,1.00E-02,0.983685,4.157768
0.5,32,1.00E-03,0.985724,0.223697
0.5,32,3.00E-03,0.983005,1.907622
0.5,32,1.00E-02,0.983685,23.841238
0.5,64,1.00E-03,0.983685,0.158634
0.5,64,3.00E-03,0.984364,1.158483
0.5,64,1.00E-02,0.983005,13.168290
0.5,128,1.00E-03,0.985724,0.066400
0.5,128,3.00E-03,0.987763,0.359555
0.5,128,1.00E-02,0.983685,4.749216
