8192,,,,,,,2048,,,,,,,512,,,,,,,128,,,,,,,32,,,,,,,8,,,,
Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss,,,,batch size,learning rate,accuracy,val loss
lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss
0.001,32,3.00E-05,,,,,0.001,32,3.00E-05,,,,,0.001,32,3.00E-05,,,,,0.001,32,3.00E-05,,,,,0.001,32,3.00E-05,,,,,0.001,32,3.00E-05,,
0.001,32,1.00E-04,,,,,0.001,32,1.00E-04,,,,,0.001,32,1.00E-04,,,,,0.001,32,1.00E-04,,,,,0.001,32,1.00E-04,,,,,0.001,32,1.00E-04,,
0.001,32,3.00E-04,,,,,0.001,32,3.00E-04,,,,,0.001,32,3.00E-04,,,,,0.001,32,3.00E-04,,,,,0.001,32,3.00E-04,,,,,0.001,32,3.00E-04,,
0.001,64,3.00E-05,,,,,0.001,64,3.00E-05,,,,,0.001,64,3.00E-05,,,,,0.001,64,3.00E-05,,,,,0.001,64,3.00E-05,,,,,0.001,64,3.00E-05,,
0.001,64,1.00E-04,,,,,0.001,64,1.00E-04,,,,,0.001,64,1.00E-04,,,,,0.001,64,1.00E-04,,,,,0.001,64,1.00E-04,,,,,0.001,64,1.00E-04,,
0.001,64,3.00E-04,,,,,0.001,64,3.00E-04,,,,,0.001,64,3.00E-04,,,,,0.001,64,3.00E-04,,,,,0.001,64,3.00E-04,,,,,0.001,64,3.00E-04,,
0.001,128,3.00E-05,,,,,0.001,128,3.00E-05,,,,,0.001,128,3.00E-05,,,,,0.001,128,3.00E-05,,,,,0.001,128,3.00E-05,,,,,0.001,128,3.00E-05,,
0.001,128,1.00E-04,,,,,0.001,128,1.00E-04,,,,,0.001,128,1.00E-04,,,,,0.001,128,1.00E-04,,,,,0.001,128,1.00E-04,,,,,0.001,128,1.00E-04,,
0.001,128,3.00E-04,,,,,0.001,128,3.00E-04,,,,,0.001,128,3.00E-04,,,,,0.001,128,3.00E-04,,,,,0.001,128,3.00E-04,,,,,0.001,128,3.00E-04,,
0.01,32,3.00E-05,,,,,0.01,32,3.00E-05,,,,,0.01,32,3.00E-05,,,,,0.01,32,3.00E-05,,,,,0.01,32,3.00E-05,,,,,0.01,32,3.00E-05,,
0.01,32,1.00E-04,,,,,0.01,32,1.00E-04,,,,,0.01,32,1.00E-04,,,,,0.01,32,1.00E-04,,,,,0.01,32,1.00E-04,,,,,0.01,32,1.00E-04,,
0.01,32,3.00E-04,,,,,0.01,32,3.00E-04,,,,,0.01,32,3.00E-04,,,,,0.01,32,3.00E-04,,,,,0.01,32,3.00E-04,,,,,0.01,32,3.00E-04,,
0.01,64,3.00E-05,,,,,0.01,64,3.00E-05,,,,,0.01,64,3.00E-05,,,,,0.01,64,3.00E-05,,,,,0.01,64,3.00E-05,,,,,0.01,64,3.00E-05,,
0.01,64,1.00E-04,,,,,0.01,64,1.00E-04,,,,,0.01,64,1.00E-04,,,,,0.01,64,1.00E-04,,,,,0.01,64,1.00E-04,,,,,0.01,64,1.00E-04,,
0.01,64,3.00E-04,,,,,0.01,64,3.00E-04,,,,,0.01,64,3.00E-04,,,,,0.01,64,3.00E-04,,,,,0.01,64,3.00E-04,,,,,0.01,64,3.00E-04,,
0.01,128,3.00E-05,,,,,0.01,128,3.00E-05,,,,,0.01,128,3.00E-05,,,,,0.01,128,3.00E-05,,,,,0.01,128,3.00E-05,,,,,0.01,128,3.00E-05,,
0.01,128,1.00E-04,,,,,0.01,128,1.00E-04,,,,,0.01,128,1.00E-04,,,,,0.01,128,1.00E-04,,,,,0.01,128,1.00E-04,,,,,0.01,128,1.00E-04,,
0.01,128,3.00E-04,,,,,0.01,128,3.00E-04,,,,,0.01,128,3.00E-04,,,,,0.01,128,3.00E-04,,,,,0.01,128,3.00E-04,,,,,0.01,128,3.00E-04,,
0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,,,,0.1,32,3.00E-05,,
0.1,32,1.00E-04,,,,,0.1,32,1.00E-04,,,,,0.1,32,1.00E-04,,,,,0.1,32,1.00E-04,,,,,0.1,32,1.00E-04,,,,,0.1,32,1.00E-04,,
0.1,32,3.00E-04,,,,12,0.1,32,3.00E-04,,,,,0.1,32,3.00E-04,,,,,0.1,32,3.00E-04,,,,,0.1,32,3.00E-04,,,,,0.1,32,3.00E-04,,
0.1,64,3.00E-05,,,,,0.1,64,3.00E-05,,,,,0.1,64,3.00E-05,,,,,0.1,64,3.00E-05,,,,,0.1,64,3.00E-05,,,,,0.1,64,3.00E-05,,
0.1,64,1.00E-04,,,,,0.1,64,1.00E-04,,,,,0.1,64,1.00E-04,,,,,0.1,64,1.00E-04,,,,,0.1,64,1.00E-04,,,,,0.1,64,1.00E-04,,
0.1,64,3.00E-04,,,,,0.1,64,3.00E-04,,,,,0.1,64,3.00E-04,,,,,0.1,64,3.00E-04,,,,,0.1,64,3.00E-04,,,,,0.1,64,3.00E-04,,
0.1,128,3.00E-05,,,,,0.1,128,3.00E-05,,,,,0.1,128,3.00E-05,,,,,0.1,128,3.00E-05,,,,,0.1,128,3.00E-05,,,,,0.1,128,3.00E-05,,
0.1,128,1.00E-04,,,,,0.1,128,1.00E-04,,,,,0.1,128,1.00E-04,,,,,0.1,128,1.00E-04,,,,,0.1,128,1.00E-04,,,,,0.1,128,1.00E-04,,
0.1,128,3.00E-04,,,,,0.1,128,3.00E-04,,,,,0.1,128,3.00E-04,,,,,0.1,128,3.00E-04,,,,,0.1,128,3.00E-04,,,,,0.1,128,3.00E-04,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight decay,,,,,,,Weight decay,,,,,,,Weight decay,,,,,,,Weight decay,,,,,,,Weight decay,,,,,,,Weight decay,,,,
lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss,,,lambda,batch_size,learning_rate,accuracy,val loss
1.00E-05,32,3.00E-05,,,,,1.00E-05,32,3.00E-05,,,,,1.00E-05,32,3.00E-05,,,,,1.00E-05,32,3.00E-05,,,,,1.00E-05,32,3.00E-05,,,,,1.00E-05,32,3.00E-05,,
1.00E-05,32,1.00E-04,,,,,1.00E-05,32,1.00E-04,,,,,1.00E-05,32,1.00E-04,,,,,1.00E-05,32,1.00E-04,,,,,1.00E-05,32,1.00E-04,,,,,1.00E-05,32,1.00E-04,,
1.00E-05,32,3.00E-04,,,,,1.00E-05,32,3.00E-04,,,,,1.00E-05,32,3.00E-04,,,,,1.00E-05,32,3.00E-04,,,,,1.00E-05,32,3.00E-04,,,,,1.00E-05,32,3.00E-04,,
1.00E-05,64,3.00E-05,,,,,1.00E-05,64,3.00E-05,,,,,1.00E-05,64,3.00E-05,,,,,1.00E-05,64,3.00E-05,,,,,1.00E-05,64,3.00E-05,,,,,1.00E-05,64,3.00E-05,,
