epoch,train_loss,test_loss
1,1.8553448476449912,2.7683091526031496
2,1.755594863306226,3.2807078826904297
3,1.7474037689321182,4.182706819915771
4,1.721999947982066,6.133247728347778
5,1.752530633031255,5.441832322311401
6,1.7576734876388784,7.07316067276001
7,1.7148046191696011,6.456951010131836
8,1.7029704251862547,10.274834049987794
9,1.7180379309007883,4.743714532661438
10,1.6339704447695056,3.765945203590393
11,1.659384231128351,5.334654986190796
12,1.5955047226318009,5.016095014953613
13,1.6061284353056222,4.072463665390015
14,1.8246653930610404,5.914627206802368
15,1.565915206509173,3.772583268928528
16,1.5206432165697104,2.4208849922180176
17,1.718605513462935,35.34523241691589
18,1.8311264542362573,4.585764136314392
19,1.507825173990196,2.5999663238525392
20,1.5141866008948792,4.705653958320617
21,1.5127127143123267,3.050113295173645
22,1.5392227834447876,5.979190559196472
23,1.4974065653198516,2.050317844390869
24,1.4749273183705556,2.3127107061386107
25,1.4889880870004444,3.046022956466675
26,2.7589671794715747,33.897253399658204
27,1.6477754939242701,6.463062631607055
28,1.47763174025299,2.813235515213013
29,1.4677462708919555,2.3365587465286253
30,1.4550699559623932,3.0165778856277465
31,1.5135034719086669,2.3825643743515013
32,1.4609967086016369,2.0464023069381714
33,1.449214653590756,2.0036527172088623
34,1.4509115139846607,2.1697889167785647
35,1.4601611466054112,1.7573918420791625
36,1.4635194701611842,1.7060814222335816
37,1.4779864756957344,2.0002409653663635
38,1.8293862318443825,59.300522423172
39,2.090418996103584,11.891366010284424
40,1.5188185089384503,2.4703056592941284
41,1.4812272287085844,5.921332711791992
42,1.4429404266045223,1.68961015625
43,1.4150588716692327,1.6488587718963623
44,1.418638968711619,1.6327318811416627
45,1.4464325514595833,2.0252872042655943
46,2.264466930533309,18.84086290206909
47,1.5576145008701803,4.465895353221893
48,1.4503050234616566,2.272897434902191
49,1.4154481604276106,2.9854571508407592
50,1.4641612109625737,1.7135045272827147
51,1.4179468990286903,1.7021593313217163
52,1.4137823670111653,1.617358846282959
53,1.4380500484305574,1.7539153900146485
54,1.4236327479867374,1.759669079399109
55,1.419272017296013,1.6555332767486572
56,3.5175827619669686,16.704447393798826
57,1.51023564863083,5.51769031867981
58,1.4578189849853516,2.758526184463501
59,1.4113245793925526,2.0882989877700804
60,1.4055673701074116,2.094452585029602
61,1.399894235689012,1.9937922611236572
62,1.4054315736531602,2.588359201049805
63,1.4140970783160471,1.86960168800354
64,1.400469069895537,1.7234976453781128
65,1.4133466213865353,1.9991283376693725
66,1.4059622613975153,1.7150444299697876
67,1.411703112790042,1.6821234506607057
68,1.4224004352184207,1.647112944984436
69,1.4206197816697532,1.6560049242019654
70,1.4271432673534774,1.6718671007156372
71,1.4250809911571805,2.5806903963088987
72,1.42862007319165,2.046464847946167
73,1.4355215733618383,11.869810828018188
74,3.51407477069084,10.121245531272889
75,1.563984569686148,3.6152394222259523
76,1.4159249820367759,2.936072386932373
77,1.3752278068181498,2.294608774757385
78,1.3763476878480838,2.157885438156128
79,1.3468361214908493,2.0575259651184084
80,1.332711243263596,1.641079808998108
81,1.3278222102338395,1.5678127048492432
82,1.315369764557275,1.759575923347473
83,1.3182642188523432,1.4907335544586182
84,1.3180523351635165,1.4755596460342406
85,1.3180729699561664,1.5961994972229003
86,1.3055173701337537,1.4492011214256286
87,1.3095646886264576,1.4309654094696045
88,1.30868742121455,1.4478278339385986
89,1.3076071986152082,1.3865613311767577
90,1.307839677004558,1.4684806489944457
91,1.2997701335746004,1.4566409141540528
92,1.304833707907011,1.4201796890258789
93,1.3074842340805952,1.377478276538849
94,1.301580075717643,1.3674609315872193
95,1.298804723393277,1.4011565114974975
96,1.2956983415062164,1.368734425354004
97,1.2933080257357235,1.40934961643219
98,1.2953707020910805,1.4250125703811645
