epoch,train_loss,test_loss
1,1.8368889093399048,3.0574013395309447
2,1.7113719413347561,4.128021293640137
3,1.6707962419065978,6.372122469329834
4,1.6237955953154113,4.052362132644653
5,1.5878891871713312,3.6769737091064454
6,1.5707353225449467,9.540971164321899
7,1.5512039097373749,3.7933652311325075
8,1.539556622505188,4.2343784603118895
9,1.518320286060538,3.8563052223205565
10,1.5936386737677142,9.156930599975587
11,1.508027962711461,4.293777382850647
12,1.449348840567157,2.3976092113494873
13,1.4563182580196643,5.065660530090332
14,1.4926061618053699,4.301402075958252
15,1.4727859204382543,3.499461108970642
16,1.573774015812008,3.5179097522735594
17,1.409098917565992,2.048675289154053
18,1.361497496095155,2.2607258375167847
19,1.3595473312051094,2.4763524517059325
20,1.434989604193841,12.08123830318451
21,1.7347095738286558,3.145451191520691
22,1.366230842097641,2.0863125584602358
23,1.33152241475137,1.7876391508102416
24,1.3190875413167813,2.2825678133010863
25,1.3204592911483686,1.9097787382125855
26,1.594172696323346,17.299469748306276
27,1.6301982844882,2.9578275926589965
28,1.3212300060350266,2.3940536130905152
29,1.321511990578888,1.8653450269699097
30,1.2937026377529135,1.8015084072113037
31,1.3023831521153755,2.385927106285095
32,1.2942590957407452,1.6828449324607848
33,1.297187360656231,1.6347793613433839
34,1.2972789682695627,2.900377182865143
35,2.071411844714523,5.732501526260376
36,1.3228538911360914,2.315461560630798
37,1.2921796168207818,1.8096669944763184
38,1.2588920218255513,1.7892543657302857
39,1.3341670874744425,2.5144504768371583
40,1.2838889491527588,1.7000130462646483
41,1.2570422052422447,1.7801380729675294
42,1.8693013810135823,17.038607598495485
43,1.4633597117250838,3.465907112121582
44,1.2623224920019165,2.2061004959106447
45,1.251234226671936,1.682656935787201
46,1.2393623860290899,1.566079214477539
47,1.2469164573627969,1.7098433700561524
48,1.243940430986302,1.6310665070533752
49,1.2461184719029594,1.5539094414710999
50,1.2439703105965538,1.6612900928497314
51,1.2469947364019311,1.6134456798553467
52,1.2604973552477023,1.765108299446106
53,1.2902944472134876,5.724741791534424
54,2.508452752971893,4.730255645751953
55,1.3025896561420178,3.434584190750122
56,1.2332300257194988,2.146993510437012
57,1.2181820627063742,2.018090176486969
58,1.2183857944310474,1.99076969165802
59,1.2321303419749756,1.8628721201896667
60,1.227374815270114,1.5748741956710814
61,1.2103497978976316,1.4987705528259276
62,1.2063291101809352,1.5522633460998536
63,1.216131427099028,1.7246571890830993
64,1.2298011903262809,1.7385751274108887
65,2.220369839759739,4.667022149658203
66,1.3040158225752203,2.3088062010765076
67,1.2402046624656833,2.0640701930999756
68,1.2065802077808039,1.9493007976531982
69,1.2196320299907109,1.6469964309692382
70,1.3095721857017264,18.4002643907547
71,1.6611761068139235,3.140146571826935
72,1.2096906575705388,1.9074114260673523
73,1.2007554659758077,1.7097172054290772
74,1.1928647387667994,1.5406877082824708
75,1.201175008893318,1.57417092628479
76,1.1943465876762214,1.5456861728668212
77,2.0316449255894518,18.65002425479889
78,1.5166047587419105,7.7770314661026
79,1.214721027847446,2.5479123361587526
80,1.2009695178407538,1.9474720922470092
81,1.1763727166463651,1.5923315773010254
82,1.1911081129022876,1.5474142681121825
83,1.1772300495820887,1.4765327796936034
84,1.1851139591478022,1.556537872505188
85,1.1908405074073225,1.5633857585906983
86,1.1916259536352913,1.4721777412414552
87,1.1995078762778846,1.5142706218719482
88,1.1907934627264662,1.5475211843490602
89,1.1960190299831692,1.5426299514770507
90,1.2032841242792662,1.5479414003372192
91,1.2039507057355798,1.576782657623291
92,1.2046530136976705,1.5999572971343994
93,1.204249053050185,1.66575546169281
94,1.2056278805903462,1.845593349456787
95,1.132082594172729,1.4394350657463073
96,1.111083122775378,1.371876941871643
97,1.0998793659002886,1.4067177235603332
98,1.0998898860438706,1.3360609997749329
99,1.0963177234315507,1.3582484928131104
100,1.0851692603067364,1.3612589868545533
101,1.0820028640120232,1.360292339324951
102,1.0818238608977373,1.375466536140442
103,1.0745063942411672,1.3493997871398926
104,1.0787523696794534,1.3570292253494263
105,1.0701743307930733,1.360679638004303
106,1.0716575858233226,1.3580534025192261
107,1.070568820857026,1.377772986125946
108,1.066049328240592,1.358080737876892
109,1.0652922904095077,1.3646334342956543
110,1.0603148737526915,1.3345437314033508
111,1.058236149265943,1.3743065651893616
112,1.055123179007674,1.3540975737571717
113,1.0584957727690791,1.3620401175498962
114,1.0519281778189227,1.3535776803970336
115,1.052961412902988,1.371054507446289
116,1.0520972667447746,1.3910490087509155
117,1.0500605929538112,1.4252011041641235
118,1.04457597659372,1.3834266935348511
119,1.0375569115209458,1.3761894457817077
120,1.0433967403133813,1.4030109170913696
121,1.044731780086332,1.379258907699585
122,1.0391893171898239,1.3693204133987427
123,1.0355279029482771,1.4243182364463807
124,1.02878005272897,1.3925428745269774
125,1.0344145695876588,1.434393874359131
126,1.0339267404792865,1.4510659168243407
127,1.0261170630869658,1.3794722150802612
128,1.0222347461049208,1.4081745086669921
129,1.024352563616565,1.4084188970565796
130,1.0198574790259456,1.3759408611297608
131,1.0250139321817462,1.403142409133911
132,1.0174473824403476,1.3853220672607423
133,1.019439506866133,1.3907026111602783
134,1.0207161558863451,1.4425338457107544
135,1.010899114639253,1.4037335006713867
136,1.0083377109769056,1.4464833723068238
137,1.0054893376272354,1.4404993141174316
138,1.0028844149521245,1.4431568759918212
139,1.0089901351867734,1.3991621219635009
140,1.0046830337370753,1.4055427085876464
141,1.0012994070187249,1.4813517614364624
142,0.9953413863316216,1.4389401315689088
143,0.9997028812118198,1.463069215488434
144,0.9997099961161309,1.453877829170227
145,0.9953460848849752,1.496722304534912
146,0.9956474049621836,1.4734015525817872
147,0.993263353014846,1.4657867864608765
148,0.9871954628268776,1.4782526483535767
149,0.9839503879437361,1.4849825981140137
150,0.9884717610790906,1.5233986854553223
151,0.9793377032365336,1.472700354385376
152,0.984989678006038,1.455805104446411
153,0.9854930892319935,1.539253893661499
154,0.9763557642622067,1.524887894630432
155,0.9775664675266237,1.5301038564682006
156,0.9705876576930971,1.5310092823028565
157,0.978274619945175,1.5368445665359498
158,0.9753279099074166,1.5787973957061767
159,0.9757036386853288,1.5713063785552979
160,0.9778725088709761,1.610345587158203
161,0.964984547451634,1.516845821762085
162,0.9575515502249189,1.5358714663505555
163,0.9718512229602355,1.5441915243148803
164,0.9598538915214636,1.5012477430343627
165,0.95699320318144,1.5255579389572143
166,0.9577853611058287,1.5685786680221558
167,0.9540271420612969,1.603691453742981
168,0.9528647839565716,1.5260686071395875
169,0.9591768912951965,1.5839729820251465
170,0.947536985892469,1.5675646240234375
171,0.9495853168885117,1.5745999759674072
172,0.9414403578814339,1.562444642162323
173,0.9540732533425627,1.5781249959945678
174,0.943603106319447,1.614434189414978
175,0.9408321606228723,1.5833615228652953
176,0.9411152954906454,1.6344092273712159
177,0.9391851408402329,1.5934868000030518
178,0.9424543188660955,1.6102945747375488
179,0.9397236310002749,1.5872519125938416
180,0.9362941315716795,1.6393901856422424
181,0.9355552923648863,1.6598017701148986
182,0.9283306610858654,1.6250155801773072
183,0.9351055574843951,1.5993714525222777
184,0.9359197775116357,1.6675853687286377
185,0.9315222285287764,1.6181917018890382
186,0.9366634767073805,1.6857440780639648
187,0.9284520894670121,1.6175053547859193
188,0.9244436490566225,1.6692713578224183
189,0.9230292741295016,1.6736774911880494
190,0.9217426874448577,1.6734275060653687
191,0.9226859535097771,1.6727175025939942
192,0.9217283980315908,1.627834496307373
193,0.9184608883260156,1.6130162744522094
194,0.9143512985285591,1.6959314477920533
195,0.9145049807970481,1.6530591226577758
196,0.9141400845154471,1.676548514175415
197,0.9216088487973908,1.7056613321304321
198,0.9134197221387683,1.6995133323669434
199,0.907829096250217,1.7047883628845215
200,0.9046216651301859,1.7114504127502441
201,0.9144270292023564,1.6547682889938355
202,0.905904566387996,1.6675870952606202
203,0.8986145073495557,1.7244746801376343
204,0.902757079400065,1.7119720888137817
205,0.8993215477070235,1.843577355003357
206,0.904760540141474,1.8178851181983948
207,0.9013567208634008,1.7154082359313965
208,0.8988474831556725,1.7675728750228883
209,0.9008205920229178,1.788230685043335
210,0.8979532369567306,1.810422761440277
211,0.8999064557082818,1.7392854594230651
212,0.8893197767265008,1.7249556647300721
213,0.8910876084166719,1.7530172451019288
214,0.8925781910071897,1.758514178276062
215,0.8869761086790763,1.7253925560951233
216,0.8844759868234014,1.7161346108436584
217,0.8840066273803906,1.7272153373718262
218,0.887155516068344,1.737495456123352
219,0.8779412546121251,1.7364890287399293
220,0.8913261544369065,1.8308131488800048
221,0.8785098510629991,1.837899573802948
222,0.8754662546660285,1.8270312351226807
223,0.8763222104448187,1.8504485195159912
224,0.8820937074663694,1.7493552542686461
225,0.886603132385732,1.7526940651893617
226,0.867820989902672,1.7755091194152832
227,0.8769771773796862,1.764715338897705
228,0.8703608723247752,1.871996900653839
229,0.8732348526530254,1.806987143421173
230,0.869574547118848,1.8289754361152648
231,0.8667731268326645,1.7913287247657776
232,0.8699998221433985,1.7999256011009217
233,0.8668793360595508,1.8434571559906006
234,0.8711039643458394,1.8931190629005432
235,0.8659470552373725,1.8176997154712677
236,0.861520116134068,1.80913398270607
237,0.8680834529344993,1.8263549278259277
238,0.8657982646656768,1.8200643595695496
239,0.862956852025693,1.8748709197998046
240,0.8567049413385903,1.8277998149871826
241,0.8616235301927533,1.8247790521621705
242,0.8567955923812164,1.890081213092804
243,0.8552290998456423,1.8679697485923767
244,0.855695338962633,1.9003518744468688
245,0.8540234683114855,1.8366504879951477
246,0.8566055878653855,1.940554507446289
247,0.8533625209422977,1.8407313189506531
248,0.8498536049557464,1.9037162846565248
249,0.8500096933616091,1.8958246773719787
250,0.8520584981459791,1.8824647453308105
251,0.8543751517220226,1.8481546746253967
252,0.8458946174977685,1.8817030742645264
253,0.8466575539020627,1.863155449295044
254,0.8366004088345695,1.8879009998321534
255,0.847122166315308,1.9005118789672852
256,0.8431619451478924,1.9315015356063843
257,0.8474692168747983,1.9813322364807129
258,0.8427768736849051,1.878060630607605
259,0.8363465210970711,1.9025014541625977
260,0.8389177584587155,1.9362774676799774
261,0.8364847874092629,1.9936751912117003
262,0.8332849490977919,1.9911887895584106
263,0.8421390338626968,1.9549499812126159
264,0.8414995124577866,1.9782093432426453
265,0.835351811650464,1.9486209421157836
