epoch,train_loss,val_loss,val_accuracy
1,0.7026078002929688,0.6927796808242798,50.62
2,0.6894630867004394,0.6856670351028442,61.88
3,0.678294867515564,0.673184139251709,71.67999999999999
4,0.6612267730712891,0.6564883140563965,79.38
5,0.6409477630615235,0.6380962881088257,82.19999999999999
6,0.61893371925354,0.6196100749969482,82.96
7,0.5961145572662353,0.5987461517333984,83.58
8,0.5725697888374328,0.5785209407806396,84.66
9,0.5489674592971802,0.5583963615417481,85.14
10,0.5249758429527283,0.5381154910087586,85.92
11,0.5010953338623046,0.5176995887756347,86.88
12,0.47753039751052856,0.4978401967525482,87.46000000000001
13,0.4541848033428192,0.4786452739238739,87.78
14,0.43145603518486025,0.460367875289917,88.03999999999999
15,0.40936057233810424,0.4423520775318146,88.3
16,0.38773022422790526,0.4254915832996368,88.6
17,0.3671443687915802,0.40920424337387085,88.84
18,0.34747826166152956,0.3940590168952942,89.0
19,0.32869712662696837,0.3798952637672424,89.25999999999999
20,0.3107050350189209,0.36690562715530395,89.60000000000001
21,0.2939704449176788,0.35455005469322204,89.5
22,0.2778659077644348,0.3437999247550964,89.82
23,0.26289205288887024,0.3330760268688202,89.75999999999999
24,0.24850611667633057,0.32418605275154116,89.75999999999999
25,0.23516553812026977,0.3151643963336945,90.02
26,0.22247372288703918,0.3072724905014038,90.02
27,0.21042256178855895,0.3002840041399002,90.06
28,0.1991268301963806,0.2938369715929031,90.08
29,0.18843251929283142,0.28796020684242246,90.06
30,0.17816510756015777,0.2828871996879578,90.28
31,0.16855466310977935,0.2782141027212143,90.06
32,0.1594228244304657,0.27408017392158507,90.24
33,0.15078836789131164,0.2708984194278717,90.24
34,0.1426595406293869,0.26708636841773986,90.24
35,0.13481247713565828,0.2643752270698547,90.2
36,0.12739712707996367,0.2615272993564606,90.18
37,0.12033301939964294,0.2594172375202179,90.0
38,0.11362399425506592,0.25791230363845824,90.38000000000001
39,0.10737054620981216,0.25647820172309876,90.52
40,0.10137082753181458,0.25449757437705994,90.44
41,0.09553103166818619,0.2538177428722382,90.46
42,0.09011601519584655,0.25251165890693666,90.18
43,0.08493162702322006,0.25217301824092864,90.4
44,0.08004641779661179,0.25222456755638123,90.42
45,0.07544308750629425,0.2517352977991104,90.36
