epoch,train_loss,val_loss,val_accuracy
1,0.6235671005249024,0.5422049204826355,82.84
2,0.4674597434997559,0.43493668413162234,86.5
3,0.3640296104431152,0.3730939938545227,87.98
4,0.2974337282180786,0.3359930337429047,88.48
5,0.2500847259521484,0.3117848029136658,89.05999999999999
6,0.21409597606658937,0.2952694673538208,89.42
7,0.1851348608970642,0.28362937996387483,89.58
8,0.16105640482902528,0.27499257547855377,89.5
9,0.140849553334713,0.2691579086303711,89.38000000000001
10,0.12395453009605407,0.26488203859329223,89.64
11,0.10929488116502761,0.26299873213768005,89.98
12,0.09676346416473389,0.2607491305589676,89.78
13,0.0856873675584793,0.2604580774784088,89.92
