model_name,vocab_size,hidden_dim,group_name,param_name,param_value,batch_size,learning_rate,best_val_loss,best_val_acc_percent,test_acc_percent,status,log_file
v1562_h8,1562,8,dropout,dropout,0.1,32,3e-5,0.344300,85.720000,85.660000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_32_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.1,64,3e-6,0.353000,85.360000,85.600000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_64_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.1,64,1e-5,0.345200,85.700000,85.670000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_64_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.1,64,3e-5,0.345000,85.720000,85.680000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_64_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.1,128,3e-6,0.377400,85.080000,85.030000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_128_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.1,128,1e-5,0.345800,85.740000,85.620000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_128_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.1,128,3e-5,0.345900,85.620000,85.600000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p1_bs_128_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.3,32,3e-6,0.343400,85.560000,85.690000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_32_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.3,32,1e-5,0.339000,85.680000,85.700000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_32_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.3,32,3e-5,0.338500,85.680000,85.770000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_32_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.3,64,3e-6,0.358200,85.300000,85.370000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_64_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.3,64,1e-5,0.339300,85.520000,85.710000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_64_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.3,64,3e-5,0.338700,85.660000,85.700000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_64_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.3,128,3e-6,0.390500,84.960000,84.840000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_128_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.3,128,1e-5,0.339800,85.660000,85.710000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_128_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.3,128,3e-5,0.339200,85.620000,85.720000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p3_bs_128_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.5,32,3e-6,0.347200,85.480000,85.610000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_32_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.5,32,1e-5,0.336000,85.720000,85.750000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_32_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.5,32,3e-5,0.336100,85.840000,85.780000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_32_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.5,64,3e-6,0.370300,85.320000,85.330000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_64_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.5,64,1e-5,0.336400,85.700000,85.650000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_64_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.5,64,3e-5,0.335800,85.660000,85.680000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_64_lr_3em5.log
v1562_h8,1562,8,dropout,dropout,0.5,128,3e-6,0.411700,84.640000,84.380000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_128_lr_3em6.log
v1562_h8,1562,8,dropout,dropout,0.5,128,1e-5,0.337000,85.640000,85.700000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_128_lr_1em5.log
v1562_h8,1562,8,dropout,dropout,0.5,128,3e-5,0.336400,85.720000,85.730000,ok,grid_results/final/logs/v1562_h8_dropout_dropout_0p5_bs_128_lr_3em5.log
v1562_h8,1562,8,layer_norm,layer_norm,true,32,3e-6,0.357500,85.060000,85.140000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_32_lr_3em6.log
v1562_h8,1562,8,layer_norm,layer_norm,true,32,1e-5,0.356600,85.180000,85.120000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_32_lr_1em5.log
v1562_h8,1562,8,layer_norm,layer_norm,true,32,3e-5,0.354800,85.260000,85.200000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_32_lr_3em5.log
v1562_h8,1562,8,layer_norm,layer_norm,true,64,3e-6,0.357400,85.260000,85.200000,ok,grid_results/final/logs/v1562_h8_layer_norm_layer_norm_true_bs_64_lr_3em6.log
