8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss
0.001,64,1.00E-05,63.80%,1.093,,0.001,64,1.00E-05,61.58%,1.153327,,0.001,64,1.00E-05,55.24%,1.31896,,0.001,64,1.00E-05,48.12%,1.495145,,0.001,64,1.00E-05,48.12%,1.495145,,0.001,64,1.00E-05,31.48%,1.943
0.001,64,3.00E-05,64.18%,1.084,,0.001,64,3.00E-05,62.60%,1.123962,,0.001,64,3.00E-05,60.14%,1.188263,,0.001,64,3.00E-05,51.22%,1.42899,,0.001,64,3.00E-05,51.22%,1.42899,,0.001,64,3.00E-05,28.92%,1.98
0.001,64,1.00E-04,63.26%,1.111,,0.001,64,1.00E-04,63.08%,1.128488,,0.001,64,1.00E-04,59.54%,1.203918,,0.001,64,1.00E-04,53.56%,1.360471,,0.001,64,1.00E-04,53.56%,1.360471,,0.001,64,1.00E-04,29.68%,1.976319
0.001,128,1.00E-05,61.60%,1.146,,0.001,128,1.00E-05,59.58%,1.201718,,0.001,128,1.00E-05,54.72%,1.328559,,0.001,128,1.00E-05,47.98%,1.491936,,0.001,128,1.00E-05,47.98%,1.491936,,0.001,128,1.00E-05,18.24%,2.422
0.001,128,3.00E-05,63.06%,1.107,,0.001,128,3.00E-05,61.38%,1.141133,,0.001,128,3.00E-05,57.16%,1.260479,,0.001,128,3.00E-05,50.20%,1.439011,,0.001,128,3.00E-05,50.20%,1.439011,,0.001,128,3.00E-05,31.18%,1.958
0.001,128,1.00E-04,63.10%,1.116,,0.001,128,1.00E-04,61.52%,1.134306,,0.001,128,1.00E-04,59.40%,1.220778,,0.001,128,1.00E-04,54.66%,1.320378,,0.001,128,1.00E-04,54.66%,1.320378,,0.001,128,1.00E-04,32.00%,1.940499
0.001,256,1.00E-05,62.70%,1.119119,,0.001,256,1.00E-05,58.00%,1.251531,,0.001,256,1.00E-05,50.74%,1.423281,,0.001,256,1.00E-05,46.64%,1.541161,,0.001,256,1.00E-05,46.64%,1.541161,,0.001,256,1.00E-05,19%,2.393
0.001,256,3.00E-05,63.92%,1.086407,,0.001,256,3.00E-05,61.12%,1.159364,,0.001,256,3.00E-05,57.96%,1.252898,,0.001,256,3.00E-05,47.14%,1.522646,,0.001,256,3.00E-05,47.14%,1.522646,,0.001,256,3.00E-05,29.82%,1.987
0.001,256,1.00E-04,63.52%,1.092382,,0.001,256,1.00E-04,61.22%,1.150671,,0.001,256,1.00E-04,58.06%,1.239652,,0.001,256,1.00E-04,53.60%,1.350414,,0.001,256,1.00E-04,53.60%,1.350414,,0.001,256,1.00E-04,32.04%,1.937509
0.01,64,1.00E-05,63.16%,1.096,,0.01,64,1.00E-05,57.68%,1.23,,0.01,64,1.00E-05,51.70%,1.397404,,0.01,64,1.00E-05,47.90%,1.506878,,0.01,64,1.00E-05,41.14%,1.704327,,0.01,64,1.00E-05,24.78%,2.092
0.01,64,3.00E-05,65.32%,1.037,,0.01,64,3.00E-05,61.40%,1.144,,0.01,64,3.00E-05,56.50%,1.254071,,0.01,64,3.00E-05,52.20%,1.407738,,0.01,64,3.00E-05,43.70%,1.628396,,0.01,64,3.00E-05,26.02%,2.065
0.01,64,1.00E-04,64.22%,1.063,,0.01,64,1.00E-04,62.94%,1.097,,0.01,64,1.00E-04,58.76%,1.204449,,0.01,64,1.00E-04,52.86%,1.368609,,0.01,64,1.00E-04,44.98%,1.575039,,0.01,64,1.00E-04,25.48%,2.078
0.01,128,1.00E-05,60.48%,1.166,,0.01,128,1.00E-05,58.84%,1.204,,0.01,128,1.00E-05,54.32%,1.344726,,0.01,128,1.00E-05,47.84%,1.518091,,0.01,128,1.00E-05,41.36%,1.711934,,0.01,128,1.00E-05,14.06%,3.574
0.01,128,3.00E-05,64.36%,1.063,,0.01,128,3.00E-05,61.72%,1.127,,0.01,128,3.00E-05,57.04%,1.26524,,0.01,128,3.00E-05,50.02%,1.446978,,0.01,128,3.00E-05,41.78%,1.676214,,0.01,128,3.00E-05,26.62%,2.002
0.01,128,1.00E-04,64.28%,1.062,,0.01,128,1.00E-04,63.22%,1.093,,0.01,128,1.00E-04,58.94%,1.218209,,0.01,128,1.00E-04,52.38%,1.382476,,0.01,128,1.00E-04,43.94%,1.618278,,0.01,128,1.00E-04,26.54%,2.033
0.01,256,1.00E-05,60.62%,1.162,,0.01,256,1.00E-05,59.28%,1.197,,0.01,256,1.00E-05,51.80%,1.401596,,0.01,256,1.00E-05,47.56%,1.532425,,0.01,256,1.00E-05,38.80%,1.743979,,0.01,256,1.00E-05,13.36%,2.886
0.01,256,3.00E-05,63.14%,1.097,,0.01,256,3.00E-05,60.72%,1.153,,0.01,256,3.00E-05,56.58%,1.292962,,0.01,256,3.00E-05,50.26%,1.452152,,0.01,256,3.00E-05,41.26%,1.692301,,0.01,256,3.00E-05,24.56%,2.087
0.01,256,1.00E-04,64.22%,1.058,,0.01,256,1.00E-04,62.98%,1.101,,0.01,256,1.00E-04,58.44%,1.224239,,0.01,256,1.00E-04,53.04%,1.359569,,0.01,256,1.00E-04,43.88%,1.610619,,0.01,256,1.00E-04,24.96%,2.088
0.1,64,1.00E-05,63.96%,1.077,,0.1,64,1.00E-05,55.68%,1.278,,0.1,64,1.00E-05,56.08%,1.28,,0.1,64,1.00E-05,46.80%,1.554254,,0.1,64,1.00E-05,36.94%,1.779717,,0.1,64,1.00E-05,23.10%,2.218
0.1,64,3.00E-05,64.98%,1.03,,0.1,64,3.00E-05,60.96%,1.137,,0.1,64,3.00E-05,57.44%,1.228581,,0.1,64,3.00E-05,48.68%,1.474016,,0.1,64,3.00E-05,37.66%,1.769986,,0.1,64,3.00E-05,22.64%,2.215
0.1,64,1.00E-04,67.04%,0.992,,0.1,64,1.00E-04,63.92%,1.072,,0.1,64,1.00E-04,60.16%,1.155105,,0.1,64,1.00E-04,50.72%,1.417286,,0.1,64,1.00E-04,41.10%,1.681325,,0.1,64,1.00E-04,23.62%,2.099
0.1,128,1.00E-05,63.26%,1.107,,0.1,128,1.00E-05,57.82%,1.219,,0.1,128,1.00E-05,54.50%,1.323,,0.1,128,1.00E-05,46.22%,1.55897,,0.1,128,1.00E-05,36.32%,1.794,,0.1,128,1.00E-05,12.78%,3.829
0.1,128,3.00E-05,65.92%,1.036,,0.1,128,3.00E-05,61.54%,1.125,,0.1,128,3.00E-05,56.32%,1.283,,0.1,128,3.00E-05,50.22%,1.446,,0.1,128,3.00E-05,39.08%,1.768,,0.1,128,3.00E-05,23.26%,2.207
0.1,128,1.00E-04,66.18%,1.014,,0.1,128,1.00E-04,64.52%,1.07,,0.1,128,1.00E-04,60.68%,1.171,,0.1,128,1.00E-04,53.32%,1.3566,,0.1,128,1.00E-04,41.04%,1.69,,0.1,128,1.00E-04,23.90%,2.096
0.1,256,1.00E-05,62.32%,1.129,,0.1,256,1.00E-05,58.00%,1.249,,0.1,256,1.00E-05,51.68%,1.408,,0.1,256,1.00E-05,44.60%,1.596,,0.1,256,1.00E-05,26.96%,2.29,,0.1,256,1.00E-05,10.74%,2.939
0.1,256,3.00E-05,66.08%,1.039,,0.1,256,3.00E-05,60.52%,1.186,,0.1,256,3.00E-05,55.50%,1.296,,0.1,256,3.00E-05,47.46%,1.523,,0.1,256,3.00E-05,38.60%,1.754,,0.1,256,3.00E-05,22.66%,2.178
0.1,256,1.00E-04,66.28%,1.016,,0.1,256,1.00E-04,64.30%,1.085,,0.1,256,1.00E-04,60.56%,1.184,,0.1,256,1.00E-04,51.26%,1.426,,0.1,256,1.00E-04,39.96%,1.7137,,0.1,256,1.00E-04,24.58%,2.088
