epoch,train_loss,val_loss,val_accuracy
1,1.8604052057478162,1.7525016069412231,38.64
2,1.7168580162472196,1.7343519926071167,40.5
3,1.644268838458591,1.6190228462219238,43.76
4,1.601850914255778,1.6000679731369019,44.44
5,1.5647221151563857,1.5657377243041992,45.34
6,1.5406352090199789,1.5327568054199219,47.2
7,1.5249284107632106,1.5464264154434204,46.1
8,1.5058750713348388,1.530683994293213,48.0
9,1.487159910138448,1.5593475103378296,47.16
10,1.472762777709961,1.5670212507247925,46.44
11,1.4627288233015272,1.531450629234314,47.36
12,1.4534978007846409,1.4909049272537231,48.78
13,1.4435974765353732,1.5880674123764038,46.54
14,1.4305153268814086,1.537321925163269,47.22
15,1.4192473253038194,1.4841768741607666,50.32
16,1.4117818412356906,1.5045804977416992,49.0
17,1.4107264681922065,1.47050940990448,50.48
18,1.4012814913007947,1.4840065240859985,49.22
19,1.3894602488835652,1.4977620840072632,48.44
20,1.3887480106989543,1.5108314752578735,48.1
21,1.3791683526780871,1.4752534627914429,49.66
22,1.373503636932373,1.5024123191833496,49.08
23,1.365770033899943,1.4201396703720093,51.18
24,1.3605224016189574,1.3915644884109497,52.94
25,1.35340014629364,1.4983839988708496,49.7
26,1.3482952771928576,1.4657620191574097,50.0
27,1.3460748451232911,1.4133280515670776,51.44
28,1.3407852156321207,1.3894481658935547,51.7
29,1.3381352402581108,1.3698680400848389,53.0
30,1.3281105114830865,1.3646140098571777,54.0
31,1.3311475005467732,1.3628993034362793,53.22
32,1.3259071356243557,1.4094606637954712,51.84
33,1.3174924350632562,1.3971447944641113,52.24
34,1.319758994547526,1.3847572803497314,52.52
35,1.30603022257487,1.3626774549484253,53.04
36,1.3036619563420613,1.4349459409713745,51.24
37,1.3040789230452643,1.4317899942398071,51.7
38,1.3027174654218885,1.3360798358917236,54.18
39,1.294626526154412,1.398003101348877,53.24
40,1.2930598055521647,1.3750483989715576,53.56
41,1.2904017077657912,1.3949354887008667,53.0
42,1.2850255436897278,1.3459672927856445,53.4
43,1.2837728622224596,1.3650752305984497,53.82
44,1.282444812573327,1.317763328552246,55.2
45,1.2813313648223876,1.3692179918289185,53.36
46,1.2761818462371826,1.3742138147354126,52.9
47,1.273676819229126,1.3517765998840332,54.04
48,1.2723812005678812,1.3189289569854736,54.58
49,1.2740349415037366,1.3152790069580078,55.22
50,1.2605824077394274,1.3597501516342163,54.46
51,1.2668380982928806,1.351318597793579,53.4
52,1.2649765161302355,1.303690791130066,55.96
53,1.258749230533176,1.342365026473999,54.42
54,1.2509478893280028,1.3139339685440063,54.7
55,1.2583751564873589,1.383392095565796,54.02
56,1.254336581717597,1.3299331665039062,54.76
57,1.2498800863689847,1.3602173328399658,54.26
58,1.2475690147823757,1.3015342950820923,55.44
59,1.2483037591510349,1.3397921323776245,54.52
60,1.2400396721733942,1.3196401596069336,55.06
61,1.2421521378411187,1.3213082551956177,54.54
62,1.2355136310577393,1.3222955465316772,54.8
63,1.2371466567145453,1.3551833629608154,54.18
64,1.2409331974453397,1.3076958656311035,55.86
65,1.234204035504659,1.3288214206695557,56.26
66,1.234000762409634,1.3056201934814453,55.88
67,1.2267678548600938,1.2907770872116089,55.52
68,1.2312145809809367,1.3257970809936523,54.56
69,1.2268420020209418,1.3190228939056396,54.88
70,1.2265800713009305,1.2885842323303223,56.34
