epoch,train_loss,val_loss,val_accuracy
1,1.8253921090867784,1.7568845748901367,42.34
2,1.6467007290522258,1.8785067796707153,40.62
3,1.5867696191363865,1.977741003036499,40.26
4,1.5482043949974909,1.7744245529174805,44.38
5,1.5265789659288194,1.891371250152588,41.76
6,1.4919495776070488,1.8024650812149048,44.34
7,1.4696705593109132,1.8801716566085815,43.0
8,1.4543388033125135,1.9528753757476807,42.82
9,1.4381109262466432,2.0472910404205322,43.1
10,1.4245811402638753,1.9732972383499146,45.24
11,1.4122262768639458,2.275038957595825,43.04
12,1.3959209728664823,2.291367530822754,40.2
13,1.3969447385999891,1.7672152519226074,47.8
14,1.3737203119489882,1.983702301979065,46.3
15,1.3625607574886747,2.061534881591797,45.76
16,1.3540845173517864,1.9124844074249268,45.06
17,1.350954894786411,1.9264308214187622,46.62
18,1.3412931803809272,2.04117488861084,45.32
19,1.2743990482860141,1.6316931247711182,50.2
20,1.2603123525831434,1.8776761293411255,47.06
21,1.25023255121443,1.9284873008728027,47.9
22,1.251971106592814,1.7233079671859741,49.28
23,1.2383334755367703,1.533207893371582,50.86
24,1.2321260865423413,1.5671870708465576,50.32
25,1.2217175460603502,1.8160544633865356,47.76
26,1.2204439137352838,1.5601377487182617,50.84
27,1.2150482404496934,1.6306414604187012,50.72
28,1.2107781778971354,1.6164424419403076,50.4
29,1.2055798810746934,1.5864015817642212,51.48
30,1.1976868674808079,1.5763676166534424,52.08
31,1.1957668216493396,1.543348789215088,51.84
32,1.1908087962468465,1.6318573951721191,49.66
33,1.1888208999209935,1.5469884872436523,52.7
34,1.1910068769666884,1.5991326570510864,51.66
35,1.1848171517266168,1.664797067642212,50.6
36,1.175514162021213,1.6794378757476807,49.5
37,1.1794028576744928,1.6343802213668823,52.0
38,1.172671415816413,1.631862759590149,50.3
39,1.1692560475243463,1.8523163795471191,49.48
40,1.1620650726106432,1.6640454530715942,50.94
41,1.1342228812959458,1.4191800355911255,53.46
42,1.1208412217034234,1.4474538564682007,53.3
43,1.1169258496814305,1.4438625574111938,54.0
44,1.111243247519599,1.5142220258712769,52.56
45,1.113074666341146,1.462462067604065,53.06
46,1.1063103258132934,1.443459391593933,53.58
47,1.0993251516871982,1.5533783435821533,52.14
48,1.0983383993360731,1.420897364616394,53.84
49,1.0981105031119454,1.4424357414245605,53.78
50,1.093550085788303,1.4360451698303223,53.76
