8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
0.1,32,3.00E-05,92.89%,0.341968,,0.1,32,3.00E-05,92.92%,0.283014,,0.1,32,3.00E-05,92.78%,0.255611,,0.1,32,3.00E-05,92.38%,0.216602,,0.1,32,3.00E-05,91.74%,0.228659,,0.1,32,3.00E-05,89.50%,0.313209
0.1,32,1.00E-04,92.85%,0.443113,,0.1,32,1.00E-04,93.37%,0.373183,,0.1,32,1.00E-04,93.01%,0.350006,,0.1,32,1.00E-04,92.98%,0.276061,,0.1,32,1.00E-04,92.74%,0.228996,,0.1,32,1.00E-04,91.38%,0.242073
0.1,32,3.00E-04,92.98%,0.664846,,0.1,32,3.00E-04,93.20%,0.483210,,0.1,32,3.00E-04,92.86%,0.478540,,0.1,32,3.00E-04,93.07%,0.398147,,0.1,32,3.00E-04,92.83%,0.314900,,0.1,32,3.00E-04,92.38%,0.266463
0.1,64,3.00E-05,93.03%,0.263433,,0.1,64,3.00E-05,93.01%,0.233807,,0.1,64,3.00E-05,92.72%,0.227009,,0.1,64,3.00E-05,91.87%,0.222944,,0.1,64,3.00E-05,90.13%,0.276528,,0.1,64,3.00E-05,87.44%,0.436226
0.1,64,1.00E-04,93.05%,0.339345,,0.1,64,1.00E-04,93.13%,0.314810,,0.1,64,1.00E-04,93.12%,0.275015,,0.1,64,1.00E-04,92.91%,0.237214,,0.1,64,1.00E-04,92.68%,0.222283,,0.1,64,1.00E-04,91.16%,0.257639
0.1,64,3.00E-04,93.20%,0.401137,,0.1,64,3.00E-04,93.27%,0.389561,,0.1,64,3.00E-04,93.02%,0.369317,,0.1,64,3.00E-04,92.98%,0.304858,,0.1,64,3.00E-04,93.05%,0.252891,,0.1,64,3.00E-04,92.48%,0.235699
0.1,128,3.00E-05,93.07%,0.230034,,0.1,128,3.00E-05,92.63%,0.224751,,0.1,128,3.00E-05,92.10%,0.229539,,0.1,128,3.00E-05,90.64%,0.258955,,0.1,128,3.00E-05,88.19%,0.369024,,0.1,128,3.00E-05,82.34%,0.644010
0.1,128,1.00E-04,93.11%,0.299103,,0.1,128,1.00E-04,92.80%,0.279917,,0.1,128,1.00E-04,92.87%,0.253002,,0.1,128,1.00E-04,92.58%,0.228104,,0.1,128,1.00E-04,91.70%,0.237872,,0.1,128,1.00E-04,89.64%,0.313746
0.1,128,3.00E-04,93.31%,0.361285,,0.1,128,3.00E-04,93.05%,0.343785,,0.1,128,3.00E-04,92.85%,0.323851,,0.1,128,3.00E-04,92.79%,0.275074,,0.1,128,3.00E-04,92.89%,0.234124,,0.1,128,3.00E-04,91.89%,0.248196
0.3,32,3.00E-05,92.86%,0.324494,,0.3,32,3.00E-05,92.92%,0.270070,,0.3,32,3.00E-05,92.70%,0.246131,,0.3,32,3.00E-05,92.33%,0.214543,,0.3,32,3.00E-05,91.31%,0.233230,,0.3,32,3.00E-05,88.82%,0.375976
0.3,32,1.00E-04,92.74%,0.463485,,0.3,32,1.00E-04,93.30%,0.371146,,0.3,32,1.00E-04,93.01%,0.335053,,0.3,32,1.00E-04,92.93%,0.262865,,0.3,32,1.00E-04,92.70%,0.238627,,0.3,32,1.00E-04,91.59%,0.255301
0.3,32,3.00E-04,91.94%,1.832746,,0.3,32,3.00E-04,92.68%,0.798908,,0.3,32,3.00E-04,92.08%,0.477119,,0.3,32,3.00E-04,92.91%,0.364354,,0.3,32,3.00E-04,93.05%,0.308600,,0.3,32,3.00E-04,92.80%,0.218048
0.3,64,3.00E-05,93.10%,0.255640,,0.3,64,3.00E-05,92.93%,0.225375,,0.3,64,3.00E-05,92.52%,0.221848,,0.3,64,3.00E-05,91.56%,0.224992,,0.3,64,3.00E-05,90.06%,0.287125,,0.3,64,3.00E-05,85.32%,0.515648
0.3,64,1.00E-04,93.25%,0.334621,,0.3,64,1.00E-04,93.35%,0.293598,,0.3,64,1.00E-04,93.21%,0.265601,,0.3,64,1.00E-04,93.04%,0.228218,,0.3,64,1.00E-04,92.50%,0.225825,,0.3,64,1.00E-04,90.84%,0.290267
0.3,64,3.00E-04,92.86%,0.587074,,0.3,64,3.00E-04,91.74%,0.706178,,0.3,64,3.00E-04,92.77%,0.388703,,0.3,64,3.00E-04,93.20%,0.284763,,0.3,64,3.00E-04,92.92%,0.265505,,0.3,64,3.00E-04,92.51%,0.215341
0.3,128,3.00E-05,93.10%,0.226418,,0.3,128,3.00E-05,92.59%,0.222991,,0.3,128,3.00E-05,91.82%,0.230586,,0.3,128,3.00E-05,90.50%,0.264413,,0.3,128,3.00E-05,87.73%,0.392173,,0.3,128,3.00E-05,81.01%,0.724165
0.3,128,1.00E-04,93.19%,0.293974,,0.3,128,1.00E-04,92.79%,0.273743,,0.3,128,1.00E-04,92.79%,0.242759,,0.3,128,1.00E-04,92.45%,0.227419,,0.3,128,1.00E-04,91.40%,0.239069,,0.3,128,1.00E-04,89.08%,0.368222
0.3,128,3.00E-04,93.34%,0.361645,,0.3,128,3.00E-04,93.07%,0.317339,,0.3,128,3.00E-04,92.97%,0.309828,,0.3,128,3.00E-04,92.62%,0.282773,,0.3,128,3.00E-04,92.64%,0.243984,,0.3,128,3.00E-04,92.15%,0.252922
0.5,32,3.00E-05,92.92%,0.308392,,0.5,32,3.00E-05,92.94%,0.255975,,0.5,32,3.00E-05,92.54%,0.237342,,0.5,32,3.00E-05,92.12%,0.215021,,0.5,32,3.00E-05,90.74%,0.248586,,0.5,32,3.00E-05,85.56%,0.487371
0.5,32,1.00E-04,91.91%,0.528902,,0.5,32,1.00E-04,93.07%,0.355592,,0.5,32,1.00E-04,92.76%,0.334465,,0.5,32,1.00E-04,92.94%,0.259355,,0.5,32,1.00E-04,92.38%,0.238638,,0.5,32,1.00E-04,91.04%,0.305671
0.5,32,3.00E-04,92.12%,2.438556,,0.5,32,3.00E-04,92.23%,0.933982,,0.5,32,3.00E-04,92.79%,0.494759,,0.5,32,3.00E-04,93.04%,0.355137,,0.5,32,3.00E-04,93.13%,0.296516,,0.5,32,3.00E-04,92.58%,0.252944
0.5,64,3.00E-05,92.93%,0.247538,,0.5,64,3.00E-05,93.04%,0.221145,,0.5,64,3.00E-05,92.57%,0.221417,,0.5,64,3.00E-05,91.49%,0.228286,,0.5,64,3.00E-05,89.60%,0.309429,,0.5,64,3.00E-05,83.51%,0.629581
0.5,64,1.00E-04,92.87%,0.340396,,0.5,64,1.00E-04,93.13%,0.283160,,0.5,64,1.00E-04,93.09%,0.261877,,0.5,64,1.00E-04,92.85%,0.224679,,0.5,64,1.00E-04,92.25%,0.229115,,0.5,64,1.00E-04,90.07%,0.356633
0.5,64,3.00E-04,92.02%,1.389136,,0.5,64,3.00E-04,92.24%,0.631009,,0.5,64,3.00E-04,93.05%,0.363623,,0.5,64,3.00E-04,93.41%,0.278673,,0.5,64,3.00E-04,92.63%,0.290964,,0.5,64,3.00E-04,92.24%,0.265605
0.5,128,3.00E-05,93.10%,0.220541,,0.5,128,3.00E-05,92.48%,0.218983,,0.5,128,3.00E-05,91.55%,0.232901,,0.5,128,3.00E-05,90.18%,0.274219,,0.5,128,3.00E-05,87.13%,0.421526,,0.5,128,3.00E-05,78.96%,0.835266
0.5,128,1.00E-04,93.17%,0.288443,,0.5,128,1.00E-04,92.68%,0.261989,,0.5,128,1.00E-04,92.82%,0.235578,,0.5,128,1.00E-04,92.34%,0.225372,,0.5,128,1.00E-04,91.01%,0.244040,,0.5,128,1.00E-04,86.08%,0.471376
0.5,128,3.00E-04,92.66%,0.570153,,0.5,128,3.00E-04,93.20%,0.336201,,0.5,128,3.00E-04,93.18%,0.293325,,0.5,128,3.00E-04,92.54%,0.271662,,0.5,128,3.00E-04,92.56%,0.254496,,0.5,128,3.00E-04,91.40%,0.297738
