8192,,,,,,2048,,,,,,512,,,,,,128,,,,,,32,,,,,,8,,,,
Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,,,Vanilla,,,,
,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss,,,batch size,learning rate,accuracy,val loss
,32,3.00E-04,92.81%,0.663970,,,32,3.00E-04,92.23%,0.407799,,,32,3.00E-04,92.80%,0.356184,,,32,3.00E-04,93.49%,0.278723,,,32,3.00E-04,92.62%,0.284753,,,32,3.00E-04,92.39%,0.277744
,64,3.00E-05,92.91%,0.274277,,,64,3.00E-05,92.76%,0.244478,,,64,3.00E-05,92.60%,0.229544,,,64,3.00E-05,92.80%,0.211090,,,64,3.00E-05,92.13%,0.302628,,,64,3.00E-05,86.35%,0.836186
,64,1.00E-04,93.09%,0.362488,,,64,1.00E-04,92.77%,0.315574,,,64,1.00E-04,92.50%,0.295758,,,64,1.00E-04,92.75%,0.243598,,,64,1.00E-04,92.48%,0.229785,,,64,1.00E-04,92.94%,0.301038
,64,3.00E-04,93.10%,0.451967,,,64,3.00E-04,92.70%,0.393965,,,64,3.00E-04,92.88%,0.345523,,,64,3.00E-04,92.63%,0.311112,,,64,3.00E-04,92.46%,0.267299,,,64,3.00E-04,92.87%,0.219141
,128,3.00E-05,93.06%,0.232066,,,128,3.00E-05,92.92%,0.217354,,,128,3.00E-05,92.56%,0.218005,,,128,3.00E-05,92.22%,0.236350,,,128,3.00E-05,91.09%,0.472961,,,128,3.00E-05,79.33%,1.076151
,128,1.00E-04,93.12%,0.297055,,,128,1.00E-04,93.01%,0.272901,,,128,1.00E-04,92.94%,0.253455,,,128,1.00E-04,93.09%,0.216584,,,128,1.00E-04,92.58%,0.238417,,,128,1.00E-04,89.73%,0.550190
,128,3.00E-04,92.66%,0.414175,,,128,3.00E-04,92.98%,0.342590,,,128,3.00E-04,92.68%,0.319980,,,128,3.00E-04,92.86%,0.266981,,,128,3.00E-04,92.60%,0.232992,,,128,3.00E-04,93.11%,0.225086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,,,NP-reg,,,,
lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss,,lambda,batch_size,learning_rate,accuracy,val loss
